Helicopter_ID	Width	Length	Time
1	2.6	5.5	1.18
1	2.6	5.5	1.2
1	2.6	5.5	1.12
1	2.6	5.5	1.22
1	2.6	5.5	1.15
2	2.6	5.3	1.17
2	2.6	5.3	1.22
2	2.6	5.3	1.19
2	2.6	5.3	1.14
2	2.6	5.3	1.24
3	2.6	5.1	1.33
3	2.6	5.1	1.35
3	2.6	5.1	1.3
3	2.6	5.1	1.39
3	2.6	5.1	1.31
4	2.6	4.9	1.45
4	2.6	4.9	1.47
4	2.6	4.9	1.51
4	2.6	4.9	1.43
4	2.6	4.9	1.42
5	2.6	4.7	1.52
5	2.6	4.7	1.45
5	2.6	4.7	1.53
5	2.6	4.7	1.42
5	2.6	4.7	1.44
6	2.6	4.5	1.45
6	2.6	4.5	1.47
6	2.6	4.5	1.52
6	2.6	4.5	1.49
6	2.6	4.5	1.36
7	2.6	4.3	1.5
7	2.6	4.3	1.42
7	2.6	4.3	1.47
7	2.6	4.3	1.42
7	2.6	4.3	1.49
8	2.6	4.1	1.52
8	2.6	4.1	1.55
8	2.6	4.1	1.48
8	2.6	4.1	1.58
8	2.6	4.1	1.42
9	2.6	3.9	1.59
9	2.6	3.9	1.45
9	2.6	3.9	1.55
9	2.6	3.9	1.52
9	2.6	3.9	1.42
10	2.6	3.7	1.67
10	2.6	3.7	1.62
10	2.6	3.7	1.7
10	2.6	3.7	1.62
10	2.6	3.7	1.58
11	2.6	3.5	1.45
11	2.6	3.5	1.64
11	2.6	3.5	1.48
11	2.6	3.5	1.62
11	2.6	3.5	1.54
12	2.6	3.3	1.45
12	2.6	3.3	1.53
12	2.6	3.3	1.38
12	2.6	3.3	1.55
12	2.6	3.3	1.49
13	2.6	3.1	1.41
13	2.6	3.1	1.36
13	2.6	3.1	1.34
13	2.6	3.1	1.39
13	2.6	3.1	1.42
14	2	3.1	1.6
14	2	3.1	1.53
14	2	3.1	1.53
14	2	3.1	1.51
14	2	3.1	1.41
15	2	2.9	1.42
15	2	2.9	1.31
15	2	2.9	1.36
15	2	2.9	1.39
15	2	2.9	1.44
16	2	2.7	1.48
16	2	2.7	1.45
16	2	2.7	1.4
16	2	2.7	1.35
16	2	2.7	1.38
17	1.5	2.7	1.2
17	1.5	2.7	1.25
17	1.5	2.7	1.28
17	1.5	2.7	1.47
17	1.5	2.7	1.38
18	1.5	2.5	1.55
18	1.5	2.5	1.57
18	1.5	2.5	1.61
18	1.5	2.5	1.53
18	1.5	2.5	1.35
19	1.5	2	1.39
19	1.5	2	1.55
19	1.5	2	1.58
19	1.5	2	1.6
19	1.5	2	1.62
20	2.6	2	1.62
20	2.6	2	1.73
20	2.6	2	1.58
20	2.6	2	1.66
20	2.6	2	1.64
21	2.4	2	1.58
21	2.4	2	1.47
21	2.4	2	1.45
21	2.4	2	1.55
21	2.4	2	1.52
22	2.2	2	1.62
22	2.2	2	1.68
22	2.2	2	1.74
22	2.2	2	1.8
22	2.2	2	1.59
23	2	2	1.45
23	2	2	1.36
23	2	2	1.38
23	2	2	1.44
23	2	2	1.48
24	1.8	2	1.33
24	1.8	2	1.37
24	1.8	2	1.39
24	1.8	2	1.44
24	1.8	2	1.31
25	1.6	2	1.55
25	1.6	2	1.6
25	1.6	2	1.52
25	1.6	2	1.57
25	1.6	2	1.45
