"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	38	322552	11.8
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	28	323456	8.7
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	22	332439	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	21	326745	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	27	327358	8.2
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	27	326976	8.3
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	28	317926	8.8
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	26	316889	8.2
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	32	323096	9.9
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	33	321344	10.3
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	25	313208	8.0
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	24	308272	7.8
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2011"	"2011"	20	314207	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2012"	"2012"	24	308475	7.8
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2013"	"2013"	20	312646	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2014"	"2014"	24	312023	7.7
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2015"	"2015"	22	310761	7.1
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2016"	"2016"	15	305759	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2017"	"2017"	16	304386	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2018"	"2018"	12	297991	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2019"	"2019"	14	294771	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"	"2020 "	"2020"	19	291595	Unreliable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Female"	"F"			517	6912875	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"1999"	"1999"	32	337909	9.5
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2000"	"2000"	31	338930	9.1
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2001"	"2001"	26	347985	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2002"	"2002"	33	341614	9.7
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2003"	"2003"	40	343489	11.6
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2004"	"2004"	30	342439	8.8
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2005"	"2005"	30	332511	9.0
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2006"	"2006"	30	331795	9.0
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2007"	"2007"	42	338080	12.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2008"	"2008"	45	336277	13.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2009"	"2009"	21	328905	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2010"	"2010"	22	322683	6.8
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2011"	"2011"	26	328952	7.9
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2012"	"2012"	24	323135	7.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2013"	"2013"	33	327763	10.1
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2014"	"2014"	30	326068	9.2
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	19	325571	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2016"	"2016"	19	320881	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	24	319058	7.5
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	20	312417	6.4
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	11	308930	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"	"2020 "	"2020"	24	305056	7.9
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"Male"	"M"			612	7240448	8.5
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"					1129	14153323	8.0
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"1999"	"1999"	19	1341785	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2000"	"2000"	26	1335413	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2001"	"2001"	23	1310892	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2002"	"2002"	18	1308190	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2003"	"2003"	15	1303398	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2004"	"2004"	15	1300667	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2005"	"2005"	14	1293968	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2006"	"2006"	10	1275658	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2007"	"2007"	18	1264852	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2008"	"2008"	19	1265057	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2009"	"2009"	20	1265788	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2010"	"2010"	17	1267495	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2011"	"2011"	17	1254687	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2012"	"2012"	16	1251615	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2014"	"2014"	14	1254180	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2015"	"2015"	23	1252678	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2016"	"2016"	16	1236251	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	16	1224428	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"	"2020 "	"2020"	12	1199288	Unreliable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Female"	"F"			352	27905132	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"1999"	"1999"	33	1405005	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2000"	"2000"	27	1398115	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2001"	"2001"	29	1371406	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2002"	"2002"	34	1368328	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2003"	"2003"	15	1363097	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2004"	"2004"	20	1359322	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2005"	"2005"	19	1352140	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2006"	"2006"	19	1333300	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2007"	"2007"	26	1322929	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2008"	"2008"	31	1322109	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2009"	"2009"	25	1322874	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2010"	"2010"	14	1325849	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2011"	"2011"	23	1310814	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2012"	"2012"	13	1308771	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2013"	"2013"	14	1306333	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2014"	"2014"	19	1310052	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2015"	"2015"	18	1309429	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2016"	"2016"	13	1291577	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	18	1293407	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	16	1282922	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	14	1271948	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"	"2020 "	"2020"	19	1255336	Unreliable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"Male"	"M"			459	29185063	1.6
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"					811	57090195	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"1999"	"1999"	35	3641769	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2000"	"2000"	38	3659944	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2001"	"2001"	36	3654226	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2002"	"2002"	28	3635290	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2003"	"2003"	30	3600618	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2004"	"2004"	38	3549394	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2005"	"2005"	36	3482979	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2006"	"2006"	26	3436214	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2007"	"2007"	32	3392472	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2008"	"2008"	22	3366397	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2009"	"2009"	15	3354449	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2010"	"2010"	29	3343054	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2011"	"2011"	25	3310705	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2012"	"2012"	27	3294916	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2013"	"2013"	34	3273297	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2014"	"2014"	16	3249211	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2015"	"2015"	33	3222045	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2016"	"2016"	18	3205510	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2017"	"2017"	30	3187158	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2018"	"2018"	30	3153952	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2019"	"2019"	24	3128696	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"	"2020 "	"2020"	18	3111806	Unreliable
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Female"	"F"			620	74254102	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"1999"	"1999"	46	3826706	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2000"	"2000"	37	3845924	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2001"	"2001"	39	3837272	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2002"	"2002"	49	3817086	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2003"	"2003"	36	3779291	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2004"	"2004"	35	3725362	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2005"	"2005"	27	3652766	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2006"	"2006"	35	3599778	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2007"	"2007"	42	3554006	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2008"	"2008"	30	3523287	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2009"	"2009"	39	3507765	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2010"	"2010"	36	3495424	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2011"	"2011"	26	3461452	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2012"	"2012"	33	3446167	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2013"	"2013"	29	3423665	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2014"	"2014"	29	3396369	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2015"	"2015"	32	3365058	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2016"	"2016"	32	3348780	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2017"	"2017"	29	3328472	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2018"	"2018"	32	3294326	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2019"	"2019"	30	3270115	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"	"2020 "	"2020"	32	3253485	1.0
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"Male"	"M"			755	77752556	1.0
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"					1375	152006658	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"1999"	"1999"	31	3369688	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2000"	"2000"	45	3405526	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2001"	"2001"	39	3474377	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2002"	"2002"	32	3521268	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2003"	"2003"	44	3568531	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2004"	"2004"	35	3609427	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2005"	"2005"	49	3654777	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2006"	"2006"	41	3696845	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2007"	"2007"	37	3731156	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2008"	"2008"	45	3752835	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2009"	"2009"	49	3777409	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2010"	"2010"	39	3784679	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2011"	"2011"	38	3765012	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2012"	"2012"	50	3763286	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2013"	"2013"	36	3739687	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2014"	"2014"	40	3735762	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	40	3709484	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	36	3671743	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	27	3638965	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2018"	"2018"	42	3564988	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2019"	"2019"	39	3512974	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"2020 "	"2020"	47	3466175	1.4
"Total"	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"			881	79914594	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"1999"	"1999"	77	3465227	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2000"	"2000"	63	3498383	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2001"	"2001"	79	3580675	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2002"	"2002"	77	3640312	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2003"	"2003"	76	3701723	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"2004"	"2004"	74	3747247	2.0
